candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,cv_mean_accuracy,cv_std_accuracy,total_fit_seconds,completed_folds
stage3_383,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",92,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 92}",stage3_local_cv,0.7110000000000001,0.012472469683266423,22.578000000000003,5
stage3_338,stage3_seed_1,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",84,6.0,0.001,"{""model__C"": 6.0, ""model__gamma"": 0.001, ""pca__n_components"": 84}",stage3_local_cv,0.7108749999999999,0.01212306685620432,22.537000000000003,5
stage3_557,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",112,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 112}",stage3_local_cv,0.7097499999999999,0.011330269193624683,21.794999999999998,5
stage3_027,stage3_seed_0,"{""model__C"": 6.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",60,6.0,0.08,"{""model__C"": 6.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",stage3_local_cv,0.70925,0.08475460901921499,21.721,5
stage3_521,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",108,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 108}",stage3_local_cv,0.708,0.011411343041027217,23.78,5
stage3_034,stage3_seed_0,"{""model__C"": 8.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",60,8.0,0.08,"{""model__C"": 8.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",stage3_local_cv,0.7075,0.08742318056442469,25.281000000000002,5
stage3_485,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",104,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 104}",stage3_local_cv,0.707125,0.012634278768493263,22.42,5
stage3_449,stage3_seed_1,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",100,4.0,0.001,"{""model__C"": 4.0, ""model__gamma"": 0.001, ""pca__n_components"": 100}",stage3_local_cv,0.706125,0.01186776095141794,22.259,5
stage3_048,stage3_seed_0,"{""model__C"": 2.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",64,2.0,0.08,"{""model__C"": 2.0, ""model__gamma"": 0.08, ""pca__n_components"": 64}",stage3_local_cv,0.706,0.08371417144068263,21.473,5
stage3_041,stage3_seed_0,"{""model__C"": 12.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",60,12.0,0.08,"{""model__C"": 12.0, ""model__gamma"": 0.08, ""pca__n_components"": 60}",stage3_local_cv,0.7053750000000001,0.0886404253148641,24.378,5
