candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage1_066,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",72,4.0,0.02,"{""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 72}",stage2_cv,2,0.7974493623405852,3.809
stage1_073,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 48}",48,8.0,0.02,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 48}",stage2_cv,0,0.7795275590551181,3.771
stage1_073,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 48}",48,8.0,0.02,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 48}",stage2_cv,1,0.771278590176228,3.004
stage1_073,stage2_shortlist_from_stage1,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 48}",48,8.0,0.02,"{""model__C"": 8.0, ""model__gamma"": 0.02, ""pca__n_components"": 48}",stage2_cv,2,0.7936984246061516,2.921
stage1_077,stage2_shortlist_from_stage1,"{""model__C"": 32.0, ""model__gamma"": 0.02, ""pca__n_components"": 128}",128,32.0,0.02,"{""model__C"": 32.0, ""model__gamma"": 0.02, ""pca__n_components"": 128}",stage2_cv,0,0.7784026996625422,4.564
stage1_077,stage2_shortlist_from_stage1,"{""model__C"": 32.0, ""model__gamma"": 0.02, ""pca__n_components"": 128}",128,32.0,0.02,"{""model__C"": 32.0, ""model__gamma"": 0.02, ""pca__n_components"": 128}",stage2_cv,1,0.7709036370453693,4.324
stage1_077,stage2_shortlist_from_stage1,"{""model__C"": 32.0, ""model__gamma"": 0.02, ""pca__n_components"": 128}",128,32.0,0.02,"{""model__C"": 32.0, ""model__gamma"": 0.02, ""pca__n_components"": 128}",stage2_cv,2,0.7779444861215303,4.461
stage1_084,stage2_shortlist_from_stage1,"{""model__C"": 16.0, ""model__gamma"": 0.05, ""pca__n_components"": 112}",112,16.0,0.05,"{""model__C"": 16.0, ""model__gamma"": 0.05, ""pca__n_components"": 112}",stage2_cv,0,0.7615298087739033,4.296
stage1_084,stage2_shortlist_from_stage1,"{""model__C"": 16.0, ""model__gamma"": 0.05, ""pca__n_components"": 112}",112,16.0,0.05,"{""model__C"": 16.0, ""model__gamma"": 0.05, ""pca__n_components"": 112}",stage2_cv,1,0.7532808398950132,4.056
stage1_084,stage2_shortlist_from_stage1,"{""model__C"": 16.0, ""model__gamma"": 0.05, ""pca__n_components"": 112}",112,16.0,0.05,"{""model__C"": 16.0, ""model__gamma"": 0.05, ""pca__n_components"": 112}",stage2_cv,2,0.7494373593398349,4.314
stage1_087,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 96}",96,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 96}",stage2_cv,0,0.770153730783652,4.725
stage1_087,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 96}",96,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 96}",stage2_cv,1,0.7686539182602175,3.596
stage1_087,stage2_shortlist_from_stage1,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 96}",96,4.0,0.005,"{""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 96}",stage2_cv,2,0.7730682670667667,3.592
stage1_091,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",128,64.0,0.0025,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",stage2_cv,0,0.7731533558305211,5.665
stage1_091,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",128,64.0,0.0025,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",stage2_cv,1,0.7840269966254219,5.808
stage1_091,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",128,64.0,0.0025,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 128}",stage2_cv,2,0.7715678919729932,6.602
stage1_094,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 112}",112,64.0,0.0025,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 112}",stage2_cv,0,0.775403074615673,5.556
stage1_094,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 112}",112,64.0,0.0025,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 112}",stage2_cv,1,0.7862767154105736,6.095
stage1_094,stage2_shortlist_from_stage1,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 112}",112,64.0,0.0025,"{""model__C"": 64.0, ""model__gamma"": 0.0025, ""pca__n_components"": 112}",stage2_cv,2,0.7779444861215303,5.93
