candidate_id,source,signature,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage3_370,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",88,24.0,scale,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",stage3_local_cv,0,0.7975,6.8
stage3_370,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",88,24.0,scale,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",stage3_local_cv,1,0.80375,6.611
stage3_370,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",88,24.0,scale,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",stage3_local_cv,2,0.794375,5.351
stage3_370,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",88,24.0,scale,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",stage3_local_cv,3,0.795625,6.677
stage3_370,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",88,24.0,scale,"{""model__C"": 24.0, ""model__gamma"": ""scale"", ""pca__n_components"": 88}",stage3_local_cv,4,0.78625,6.588
stage3_371,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,24.0,0.001,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,0,0.753125,5.216
stage3_371,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,24.0,0.001,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,1,0.73875,5.078
stage3_371,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,24.0,0.001,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,2,0.74,6.008
stage3_371,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,24.0,0.001,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,3,0.754375,5.148
stage3_371,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",88,24.0,0.001,"{""model__C"": 24.0, ""model__gamma"": 0.001, ""pca__n_components"": 88}",stage3_local_cv,4,0.734375,4.914
stage3_372,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",88,24.0,0.0025,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",stage3_local_cv,0,0.7975,6.798
stage3_372,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",88,24.0,0.0025,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",stage3_local_cv,1,0.79,6.51
stage3_372,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",88,24.0,0.0025,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",stage3_local_cv,2,0.79375,6.175
stage3_372,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",88,24.0,0.0025,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",stage3_local_cv,3,0.79625,6.519
stage3_372,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",88,24.0,0.0025,"{""model__C"": 24.0, ""model__gamma"": 0.0025, ""pca__n_components"": 88}",stage3_local_cv,4,0.78625,6.605
stage3_373,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",88,24.0,0.005,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",stage3_local_cv,0,0.798125,6.41
stage3_373,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",88,24.0,0.005,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",stage3_local_cv,1,0.809375,6.484
stage3_373,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",88,24.0,0.005,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",stage3_local_cv,2,0.7925,6.721
stage3_373,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",88,24.0,0.005,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",stage3_local_cv,3,0.7875,6.395
stage3_373,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",88,24.0,0.005,"{""model__C"": 24.0, ""model__gamma"": 0.005, ""pca__n_components"": 88}",stage3_local_cv,4,0.785,6.016
stage3_374,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",88,24.0,0.01,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",stage3_local_cv,0,0.795625,5.006
stage3_374,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",88,24.0,0.01,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",stage3_local_cv,1,0.7975,4.896
stage3_374,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",88,24.0,0.01,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",stage3_local_cv,2,0.8,5.111
stage3_374,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",88,24.0,0.01,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",stage3_local_cv,3,0.789375,4.827
stage3_374,stage3_seed_1,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",88,24.0,0.01,"{""model__C"": 24.0, ""model__gamma"": 0.01, ""pca__n_components"": 88}",stage3_local_cv,4,0.79625,5.168
