mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.015355396270751952,0.0016892356228452666,0.10501441955566407,0.027255043541473036,manhattan,3,distance,44,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 44}",0.774375,0.770625,0.779375,0.78125,0.78,0.7771250000000001,0.004003904344511744,37
0.02314276695251465,0.007822984241788688,0.11507568359375,0.020087234428541746,manhattan,6,distance,42,"{'model__metric': 'manhattan', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 42}",0.784375,0.766875,0.783125,0.768125,0.781875,0.776875,0.0077055175037112405,39
0.024906110763549805,0.008205608254941677,0.035804462432861325,0.011638069298383142,euclidean,2,distance,42,"{'model__metric': 'euclidean', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 42}",0.76625,0.7675,0.785625,0.784375,0.77375,0.7755,0.0081719795643406,40
0.021268749237060548,0.0024864805847417694,0.027574634552001952,0.012637261907618352,euclidean,2,distance,40,"{'model__metric': 'euclidean', 'model__n_neighbors': 2, 'model__weights': 'distance', 'pca__n_components': 40}",0.770625,0.764375,0.785625,0.783125,0.771875,0.7751250000000001,0.008007808689023474,41
0.03186764717102051,0.029138870762106445,0.10716004371643066,0.02732967634023503,manhattan,8,distance,45,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'pca__n_components': 45}",0.77625,0.773125,0.783125,0.765625,0.7775,0.775125,0.005747281966286315,42
0.019080686569213866,0.0015885489766605337,0.09949316978454589,0.020237493356316482,manhattan,3,uniform,48,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 48}",0.78,0.769375,0.778125,0.779375,0.766875,0.7747499999999998,0.0055000000000000075,43
0.017517471313476564,0.0031121452654888546,0.1208418369293213,0.038617249941541996,manhattan,3,distance,48,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 48}",0.78,0.769375,0.778125,0.779375,0.766875,0.7747499999999998,0.0055000000000000075,43
0.021030998229980467,0.003574761519005728,0.040361213684082034,0.024856078375861793,euclidean,6,distance,43,"{'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 43}",0.771875,0.775,0.77,0.784375,0.769375,0.7741250000000001,0.005485777064372934,45
0.03183779716491699,0.016568787453904308,0.03155417442321777,0.006629274131640435,euclidean,6,distance,40,"{'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 40}",0.76375,0.773125,0.77625,0.78625,0.77125,0.774125,0.007327175444876414,46
0.020193958282470705,0.0022316823927053305,0.025742149353027342,0.007559458238489659,euclidean,6,distance,44,"{'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 44}",0.765625,0.774375,0.773125,0.786875,0.768125,0.7736249999999999,0.007356969484781087,47
0.033682966232299806,0.023809238558966817,0.11030402183532714,0.023688936553000143,manhattan,8,distance,48,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'pca__n_components': 48}",0.7725,0.766875,0.781875,0.7675,0.77875,0.7735000000000001,0.005976516543940981,48
0.028713417053222657,0.018317964304034675,0.1022374153137207,0.006572568559026847,manhattan,8,distance,44,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'pca__n_components': 44}",0.77,0.770625,0.783125,0.76625,0.7775,0.7735,0.006028577775893731,49
0.018714046478271483,0.0035001415924349635,0.07512831687927246,0.025478444026654664,manhattan,3,uniform,40,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 40}",0.781875,0.76125,0.781875,0.774375,0.7675,0.7733749999999999,0.008087413059810913,50
0.01843719482421875,0.0026418523627527654,0.11546859741210938,0.05831759503645785,manhattan,3,distance,40,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 40}",0.781875,0.76125,0.781875,0.774375,0.7675,0.7733749999999999,0.008087413059810913,50
0.02598147392272949,0.003913512586276501,0.06046290397644043,0.03965046917602779,euclidean,6,distance,48,"{'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 48}",0.769375,0.778125,0.76625,0.780625,0.769375,0.77275,0.00558457697592216,52
0.024144792556762697,0.003573546843131963,0.033464670181274414,0.012663831593388939,euclidean,6,distance,42,"{'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 42}",0.765625,0.77125,0.77125,0.78875,0.76625,0.7726249999999999,0.008407585860400102,53
0.03175640106201172,0.02691698740530794,0.07277851104736328,0.005818944804487868,manhattan,3,uniform,43,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 43}",0.776875,0.763125,0.774375,0.77125,0.776875,0.7725000000000001,0.005123475382979777,54
0.029932308197021484,0.018034794512983166,0.09967503547668458,0.022861740688612617,manhattan,3,distance,43,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 43}",0.776875,0.763125,0.774375,0.77125,0.776875,0.7725000000000001,0.005123475382979777,54
0.02562556266784668,0.010500981256822724,0.09430789947509766,0.027284875274905796,manhattan,3,distance,42,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 42}",0.77625,0.75875,0.779375,0.773125,0.775,0.7725,0.007169815199849987,56
0.018238067626953125,0.0022387616194831715,0.10061759948730468,0.022265944596978275,manhattan,8,distance,40,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'pca__n_components': 40}",0.774375,0.765625,0.78625,0.775625,0.760625,0.7725,0.00883883476483185,56
0.019376802444458007,0.0024727536669558537,0.08313179016113281,0.024921951784720148,manhattan,3,uniform,42,"{'model__metric': 'manhattan', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 42}",0.77625,0.75875,0.779375,0.773125,0.775,0.7725,0.007169815199849987,56
0.03129510879516602,0.006316970926124495,0.06801347732543946,0.04389044631326214,euclidean,6,distance,46,"{'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 46}",0.7675,0.78,0.768125,0.775,0.770625,0.7722499999999999,0.004687083314813197,59
0.023059844970703125,0.0024187795276963708,0.12669868469238282,0.035005334659608006,manhattan,8,distance,42,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'pca__n_components': 42}",0.77125,0.7625,0.780625,0.77,0.775625,0.772,0.0060389361645906,60
0.020170211791992188,0.002289122452005863,0.038409996032714847,0.0260537181251384,euclidean,6,distance,45,"{'model__metric': 'euclidean', 'model__n_neighbors': 6, 'model__weights': 'distance', 'pca__n_components': 45}",0.763125,0.7775,0.769375,0.780625,0.769375,0.772,0.006279928343540213,60
0.016300487518310546,0.0030021234999077855,0.10422086715698242,0.02468485059079429,manhattan,8,distance,46,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'pca__n_components': 46}",0.771875,0.76625,0.774375,0.765,0.778125,0.771125,0.004927600836106747,62
0.018636035919189452,0.0018695236337469391,0.1196281909942627,0.021019758501241763,manhattan,8,distance,43,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance', 'pca__n_components': 43}",0.766875,0.763125,0.78125,0.774375,0.76875,0.770875,0.0063319625709569605,63
0.029778099060058592,0.018137689394955126,0.08221793174743652,0.009680194051362348,manhattan,4,uniform,46,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'uniform', 'pca__n_components': 46}",0.7725,0.773125,0.765,0.77375,0.76875,0.7706250000000001,0.0033071891388307263,64
0.02725081443786621,0.018429092390585,0.09830222129821778,0.018185246612533137,manhattan,4,uniform,45,"{'model__metric': 'manhattan', 'model__n_neighbors': 4, 'model__weights': 'uniform', 'pca__n_components': 45}",0.770625,0.769375,0.766875,0.771875,0.769375,0.769625,0.0016583123951777014,65
0.02091059684753418,0.004671984759879091,0.0667426586151123,0.019046520363701948,euclidean,3,uniform,43,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 43}",0.77125,0.7675,0.7725,0.770625,0.761875,0.7687499999999999,0.003811987670494233,66
0.01887059211730957,0.003085057192733082,0.0355414867401123,0.016491629140403304,euclidean,3,distance,43,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 43}",0.77125,0.7675,0.7725,0.770625,0.761875,0.7687499999999999,0.003811987670494233,66
0.024472570419311522,0.008777734731815645,0.05009002685546875,0.04121595950514414,euclidean,3,distance,44,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 44}",0.769375,0.775,0.77,0.769375,0.759375,0.768625,0.005083674851915689,68
0.033358192443847655,0.012090015908814995,0.07915124893188477,0.03846070086515259,euclidean,3,uniform,44,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 44}",0.769375,0.775,0.77,0.769375,0.759375,0.768625,0.005083674851915689,68
0.04012117385864258,0.027675063979607676,0.052264833450317384,0.006253519865106156,euclidean,3,uniform,42,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'uniform', 'pca__n_components': 42}",0.770625,0.765625,0.775,0.76875,0.756875,0.767375,0.006064754735354122,70
0.019824457168579102,0.0022140494559977873,0.020131969451904298,0.0009337646480584938,euclidean,3,distance,42,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 42}",0.770625,0.765625,0.775,0.76875,0.756875,0.767375,0.006064754735354122,70
0.04772062301635742,0.05418781333352642,0.027180862426757813,0.011652082022414141,euclidean,3,distance,46,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 46}",0.76375,0.771875,0.77125,0.7725,0.756875,0.76725,0.006080193253507652,72
0.021793174743652343,0.002551566141584898,0.018904590606689455,0.000783495335361321,euclidean,3,distance,45,"{'model__metric': 'euclidean', 'model__n_neighbors': 3, 'model__weights': 'distance', 'pca__n_components': 45}",0.763125,0.771875,0.77,0.768125,0.763125,0.76725,0.0035707142142713945,72
