candidate_id,source,signature,clean__method,scale__method,pca__n_components,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds,removed_rows
stage1_028,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",none,power_yeo,144,4.0,0.01,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,0,0.7825271841019873,9.01,0
stage1_093,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",lof_0.03,quantile_normal,104,6.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",stage2_cv,0,0.7727784026996626,5.069,160
stage1_090,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 136, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,136,3.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 136, ""scale__method"": ""power_yeo""}",stage2_cv,0,0.7855268091488564,9.172,160
stage1_062,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 112, ""scale__method"": ""standard""}",lof_0.05,standard,112,6.0,0.005,"{""clean__method"": ""lof_0.05"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 112, ""scale__method"": ""standard""}",stage2_cv,0,0.7784026996625422,4.055,268
stage1_076,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 96, ""scale__method"": ""quantile_normal""}",lof_0.05,quantile_normal,96,2.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 96, ""scale__method"": ""quantile_normal""}",stage2_cv,0,0.7739032620922385,5.08,268
stage1_073,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 96, ""scale__method"": ""robust""}",none,robust,96,2.0,0.02,"{""clean__method"": ""none"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 96, ""scale__method"": ""robust""}",stage2_cv,1,0.7855268091488564,3.728,0
stage1_016,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",lof_0.03,standard,144,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",stage2_cv,1,0.7859017622797151,6.167,160
stage1_072,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,144,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,1,0.7866516685414323,8.478,160
stage1_078,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,144,6.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,1,0.7855268091488564,9.494,160
stage1_045,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 136, ""scale__method"": ""standard""}",lof_0.03,standard,136,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 136, ""scale__method"": ""standard""}",stage2_cv,1,0.7904011998500188,5.755,160
stage1_074,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""quantile_normal""}",lof_0.05,quantile_normal,128,3.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""quantile_normal""}",stage2_cv,1,0.7859017622797151,5.379,268
stage1_046,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""power_yeo""}",lof_0.05,power_yeo,128,3.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""power_yeo""}",stage2_cv,1,0.7866516685414323,7.293,268
stage1_005,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",none,standard,144,4.0,0.005,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",stage2_cv,1,0.7799025121859767,5.47,0
stage1_015,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 112, ""scale__method"": ""robust""}",lof_0.03,robust,112,6.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 112, ""scale__method"": ""robust""}",stage2_cv,1,0.7847769028871391,3.979,160
stage1_002,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",lof_0.03,robust,120,3.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",stage2_cv,1,0.7866516685414323,5.543,160
stage1_094,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",lof_0.03,robust,120,4.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",stage2_cv,1,0.7896512935883014,4.405,160
stage1_075,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 136, ""scale__method"": ""robust""}",lof_0.03,robust,136,2.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 136, ""scale__method"": ""robust""}",stage2_cv,1,0.7859017622797151,5.606,160
stage1_049,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",none,quantile_normal,104,8.0,0.01,"{""clean__method"": ""none"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",stage2_cv,1,0.7825271841019873,5.472,0
stage1_028,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",none,power_yeo,144,4.0,0.01,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,1,0.7859017622797151,9.395,0
stage1_093,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",lof_0.03,quantile_normal,104,6.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",stage2_cv,1,0.7825271841019873,5.037,160
stage1_090,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 136, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,136,3.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 136, ""scale__method"": ""power_yeo""}",stage2_cv,1,0.7896512935883014,9.163,160
stage1_062,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 112, ""scale__method"": ""standard""}",lof_0.05,standard,112,6.0,0.005,"{""clean__method"": ""lof_0.05"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 112, ""scale__method"": ""standard""}",stage2_cv,1,0.78177727784027,4.291,268
stage1_076,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 96, ""scale__method"": ""quantile_normal""}",lof_0.05,quantile_normal,96,2.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 96, ""scale__method"": ""quantile_normal""}",stage2_cv,1,0.7780277465316835,4.745,268
stage1_073,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 96, ""scale__method"": ""robust""}",none,robust,96,2.0,0.02,"{""clean__method"": ""none"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 96, ""scale__method"": ""robust""}",stage2_cv,2,0.7918229557389347,4.24,0
stage1_016,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",lof_0.03,standard,144,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",stage2_cv,2,0.7809452363090773,5.276,160
stage1_072,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,144,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,2,0.7790697674418605,9.284,160
stage1_078,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,144,6.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,2,0.7790697674418605,9.191,160
stage1_045,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 136, ""scale__method"": ""standard""}",lof_0.03,standard,136,8.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 8.0, ""model__gamma"": 0.005, ""pca__n_components"": 136, ""scale__method"": ""standard""}",stage2_cv,2,0.7828207051762941,5.851,160
stage1_074,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""quantile_normal""}",lof_0.05,quantile_normal,128,3.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""quantile_normal""}",stage2_cv,2,0.7914478619654913,5.801,268
stage1_046,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""power_yeo""}",lof_0.05,power_yeo,128,3.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 128, ""scale__method"": ""power_yeo""}",stage2_cv,2,0.792198049512378,6.885,268
stage1_005,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",none,standard,144,4.0,0.005,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.005, ""pca__n_components"": 144, ""scale__method"": ""standard""}",stage2_cv,2,0.7756939234808702,6.062,0
stage1_015,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 112, ""scale__method"": ""robust""}",lof_0.03,robust,112,6.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.02, ""pca__n_components"": 112, ""scale__method"": ""robust""}",stage2_cv,2,0.7850712678169542,3.921,160
stage1_002,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",lof_0.03,robust,120,3.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",stage2_cv,2,0.7891972993248312,4.396,160
stage1_094,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",lof_0.03,robust,120,4.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 4.0, ""model__gamma"": 0.02, ""pca__n_components"": 120, ""scale__method"": ""robust""}",stage2_cv,2,0.794073518379595,5.207,160
stage1_075,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 136, ""scale__method"": ""robust""}",lof_0.03,robust,136,2.0,0.02,"{""clean__method"": ""lof_0.03"", ""model__C"": 2.0, ""model__gamma"": 0.02, ""pca__n_components"": 136, ""scale__method"": ""robust""}",stage2_cv,2,0.7918229557389347,5.323,160
stage1_049,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",none,quantile_normal,104,8.0,0.01,"{""clean__method"": ""none"", ""model__C"": 8.0, ""model__gamma"": 0.01, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",stage2_cv,2,0.7880720180045011,5.869,0
stage1_028,stage2_shortlist_from_stage1,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",none,power_yeo,144,4.0,0.01,"{""clean__method"": ""none"", ""model__C"": 4.0, ""model__gamma"": 0.01, ""pca__n_components"": 144, ""scale__method"": ""power_yeo""}",stage2_cv,2,0.7970742685671418,8.184,0
stage1_093,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",lof_0.03,quantile_normal,104,6.0,0.005,"{""clean__method"": ""lof_0.03"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 104, ""scale__method"": ""quantile_normal""}",stage2_cv,2,0.77231807951988,5.868,160
stage1_090,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 136, ""scale__method"": ""power_yeo""}",lof_0.03,power_yeo,136,3.0,0.01,"{""clean__method"": ""lof_0.03"", ""model__C"": 3.0, ""model__gamma"": 0.01, ""pca__n_components"": 136, ""scale__method"": ""power_yeo""}",stage2_cv,2,0.792198049512378,8.484,160
stage1_062,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 112, ""scale__method"": ""standard""}",lof_0.05,standard,112,6.0,0.005,"{""clean__method"": ""lof_0.05"", ""model__C"": 6.0, ""model__gamma"": 0.005, ""pca__n_components"": 112, ""scale__method"": ""standard""}",stage2_cv,2,0.7760690172543135,4.847,268
stage1_076,stage2_shortlist_from_stage1,"{""clean__method"": ""lof_0.05"", ""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 96, ""scale__method"": ""quantile_normal""}",lof_0.05,quantile_normal,96,2.0,0.01,"{""clean__method"": ""lof_0.05"", ""model__C"": 2.0, ""model__gamma"": 0.01, ""pca__n_components"": 96, ""scale__method"": ""quantile_normal""}",stage2_cv,2,0.7831957989497375,4.274,268
