candidate_id,source,signature,criterion,max_depth,min_samples_leaf,min_samples_split,max_features,max_samples,params_json,stage,fold_idx,n_estimators,fold_accuracy,fit_seconds
stage1_037,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 14}",entropy,40.0,6,14,0.35,,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 14}",stage2_cv,1,448,0.7270341207349081,341.991
stage1_037,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 14}",entropy,40.0,6,14,0.35,,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.35, ""max_samples"": null, ""min_samples_leaf"": 6, ""min_samples_split"": 14}",stage2_cv,2,448,0.7273068267066767,332.638
stage1_041,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",gini,32.0,3,2,0.25,0.9,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",stage2_cv,0,448,0.7191601049868767,188.097
stage1_041,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",gini,32.0,3,2,0.25,0.9,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",stage2_cv,1,448,0.7285339332583427,191.595
stage1_041,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",gini,32.0,3,2,0.25,0.9,"{""criterion"": ""gini"", ""max_depth"": 32, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 2}",stage2_cv,2,448,0.7231807951987997,191.303
stage1_043,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": 0.5, ""max_samples"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",gini,40.0,2,14,0.5,0.8,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": 0.5, ""max_samples"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",stage2_cv,0,448,0.718785151856018,345.163
stage1_043,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": 0.5, ""max_samples"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",gini,40.0,2,14,0.5,0.8,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": 0.5, ""max_samples"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",stage2_cv,1,448,0.7221597300337458,346.378
stage1_043,stage2_shortlist_from_stage1,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": 0.5, ""max_samples"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",gini,40.0,2,14,0.5,0.8,"{""criterion"": ""gini"", ""max_depth"": 40, ""max_features"": 0.5, ""max_samples"": 0.8, ""min_samples_leaf"": 2, ""min_samples_split"": 14}",stage2_cv,2,448,0.7209302325581395,344.301
stage1_049,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",entropy,40.0,2,10,0.25,0.9,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",stage2_cv,0,448,0.724034495688039,242.835
stage1_049,stage2_shortlist_from_stage1,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",entropy,40.0,2,10,0.25,0.9,"{""criterion"": ""entropy"", ""max_depth"": 40, ""max_features"": 0.25, ""max_samples"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 10}",stage2_cv,1,448,0.7255343082114736,245.674
