candidate_id,source,signature,feature__set,feature__raw_pca,scale__method,model__family,model__n_neighbors,model__metric,model__C,model__gamma,params_json,stage,fold_idx,fold_accuracy,fit_seconds
stage1_071,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,32,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.929375,1.687
stage1_089,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,16,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,1,0.92875,1.577
stage1_100,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,32,standard,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,1,0.933125,2.088
stage1_082,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,0,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.926875,1.851
stage1_083,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,0,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.9275,1.355
stage1_095,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,16,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.92875,1.548
stage1_106,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,32,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.9325,1.844
stage1_070,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,32,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.925625,1.587
stage1_064,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",fft,32,standard,svm,,,3.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,1,0.92875,1.66
stage1_047,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 0, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,0,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 0, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.9275,1.071
stage1_094,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,16,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.92625,1.962
stage1_088,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,16,standard,svm,,,3.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""all"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,1,0.926875,2.121
stage1_053,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",fft,16,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,1,0.928125,1.354
stage1_058,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,16,robust,svm,,,3.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 3.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.92,1.362
stage1_059,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",fft,16,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 16, ""feature__set"": ""fft"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,1,0.923125,1.324
stage1_101,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",all,32,standard,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""standard""}",stage2_cv,2,0.938125,1.947
stage1_107,stage2_shortlist_from_stage1,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",all,32,robust,svm,,,6.0,0.01,"{""feature__raw_pca"": 32, ""feature__set"": ""all"", ""model__C"": 6.0, ""model__family"": ""svm"", ""model__gamma"": 0.01, ""model__metric"": null, ""model__n_neighbors"": null, ""scale__method"": ""robust""}",stage2_cv,2,0.938125,1.882
